Id,Category,Tweet
6.35769805279248E+017,c1,Not Available
6.35930169241375E+017,c3,IOS 9 App Transport Security. Mm need to check if my 3rd party network pod supports it http://t.co/fmtcfUAdgj
6.35950258682524E+017,c0,"Mar if you have an iOS device, you should download our app too: http://t.co/gl3tn2uDnD"
6.36030803433009E+017,c6,@jimmie_vanagon my phone does not run on latest IOS which may account for problem the other day .. time it was replaced
6.36100906224849E+017,c2,Not sure how to start your publication on iOS? We'll be live helping with ask me anything sessions today and Friday http://t.co/KPqqGjjh3x
6.36176272947745E+017,c4,"Two Dollar Tuesday is here with Forklift 2, QuickKey for iOS and Suite for Pages for just $1.99 today:   http://t.co/BNMFOEACw5"
6.3627631156086E+017,c5,"If you're not already signed up to test my iOS game, nows your chance! https://t.co/eZhIU6EDpQ"
6.36302400546976E+017,c1,"YouTube Gaming Officially Launches On Web, Android, iOS On August 26: YouTube is finally going to r... http://t.co/qbhyA3kaWP #webseries"
6.36356154151576E+017,c4,YouTube Gaming Launches Tomorrow with iOS and Android Apps to Go Head-to-Head with Twitch http://t.co/yZOATToeJC #ios #game
6.36360240921973E+017,c2,@astrill Yashan from BBC @bbcchinese the VPN access on IOS may be limited during China's military parade? Any chance to have a chat on that?
6.36440904967062E+017,c5,Parkrun app for iOS downloaded Where have you been before ?Great app easier access of info &amp; ready for Saturday's run http://t.co/ZyOFhZeRIO
6.3648419005012E+017,c0,"Today @YouTubeGaming launches, with apps for iOS and Android devices in the US and UK, here is what you need to know http://t.co/Kf8DgnHX9b"
6.36567666048795E+017,c4,Got a project you want to work on? Need help with Swift? Need an excuse to hang with iOS devs on a Sat? Hang with us! http://t.co/pUWsKbDfWe
6.36724154260177E+017,c5,"Met with iOS Developer today. We may have a ""go"". 8-)"
6.3682846082073E+017,c2,#CrossSkyHigh is going IOS #saturday. For now try this http://t.co/Jrc6ktK9rT #indiedev @GamerRTer @ShoutGamers http://t.co/bkWUjKEmju
6.3687833710592E+017,c4,What's the best way to get audio recordings from a 3rd party app off of an iOS device? Jailbreaking isn't an option.
6.36907592036389E+017,c1,Five Great Free Apps and Games for iOS - August 27th Edition:  It's that time of the week again... http://t.co/QGkrIrKI28 #News #LCHBuzz
6.37003894611149E+017,c0,"@clayrussell @Nostradamion looks interesting but I've ALWAYS ended up back on iOS keyboard, always glitches with iOS 8/9 3rd party ones"
6.37018128111694E+017,c3,"See news through the eyes of real people &amp; be your own reporter with Fresco 2.0 for iOS, coming September 8th! http://t.co/IfLPLqqsmy"
