Id;Category;Tweet
1.00E+18;c0;RT @NotBillWalton: To me, Kevin Durant is like Kim Kardashian. I don't care how successful you are right now, I will ALWAYS remember what y…
1.00E+18;c3;RT @iamblackbear: someone asked me how often i want to die today
1.00E+18;c4;Read the thread. #ItsOkNotToBeOk #reachout #itsgoodtotalk https://t.co/20Ccdv7Mrs
1.00E+18;c0;Oh my God 🤣🤣🤣🤣🤣🤣🤣 https://t.co/mPL2eE4hAj
1.00E+18;c0;RT @QGotNoRings: Y'all would make women orgasm more if you actively asked them what they want, what's working, what's not and how you can d…
1.00E+18;c0;"RT @deguzmankarenn: -FLAT CHESTED
-WALA KANG DEDE WAG KANG MAGMAGANDA
-DI MO NA KAILANGAN MAGBRA, WALA KA NAMANG DEDE EH

tbh i'm just so t…"
1.00E+18;c0;RT @simonfromharlow: So... 72 hours after this photo was taken last year, I deleted Twitter, Facebook and WhatsApp, threw my phones into a…
1.00E+18;c0;RT @NotBillWalton: To me, Kevin Durant is like Kim Kardashian. I don't care how successful you are right now, I will ALWAYS remember what y…
1.00E+18;c0;"RT @deguzmankarenn: -FLAT CHESTED
-WALA KANG DEDE WAG KANG MAGMAGANDA
-DI MO NA KAILANGAN MAGBRA, WALA KA NAMANG DEDE EH

tbh i'm just so t…"
1.00E+18;c4;@FabuPonah I don't know the details but I know your pain. Try to calm yourself, it sucks but it's not a tragedy and… https://t.co/nNCCek0Axz
1.00E+18;c3;RT @BenKissel: I don't care who does it. I don't care which political party does it. I want to see human beings who were over-sentenced by…
1.00E+18;c0;Just as you think you're done crying about that guy who broke your heart, some dumb thing on tv sets you of again.… https://t.co/qDbSPLqnJO
1.00E+18;c2;End world hunger: Take a dictionary, and remove all references to hunger! Can't be spoken, it doesn't exist!
1.00E+18;c0; Thomas Cook cares? Clearly not.... I've messaged you on 2 occasions on how we've had our last 2 ho… https://t.co/20TfxeBPfj
1.00E+18;c4;RT @muftimenk: Make a commitment to start a new beginning when #Ramadan ends. Give up at least one bad habit in this blessed month. Do it s…
1.00E+18;c3;RT @Omojuwa: God isn’t answering your “let my enemies die!” prayers because He doesn’t want you to kill yourself. Sometimes, stop externali…
1.00E+18;c0;"If this is the case I want to see @FLOTUS filled immigration papers.
There's NO way that an educated person receive… https://t.co/RUPy2AawxY"
1.00E+18;c3;drinking game: take a shot every time i embarrass myself in public. this is also a pretty effective way to kill yourself.
1.00E+18;c6;RT @hopexpics: I WANT TO DIE https://t.co/ecDpTujm9C
1.00E+18;c6;"RT @ThinkSarcasm: i've been in a ""i don't even care anymore"" mood a lot lately"
1.00E+18;c3;@vegermta I just think she don't een care for me if she do that. Sex and allat ain't that serious for real. Sometim… https://t.co/pYnpGrfBQx
1.00E+18;c0;RT @simonfromharlow: So... 72 hours after this photo was taken last year, I deleted Twitter, Facebook and WhatsApp, threw my phones into a…
1.00E+18;c0;"RT @SimonBruni: If remainers want Freedom of Movement

If EFTA/EEA leavers want FoM

If EU27 + EFTA citizens + Brits abroad want FoM

If mo…"
1.00E+18;c4;RT @muftimenk: Make a commitment to start a new beginning when #Ramadan ends. Give up at least one bad habit in this blessed month. Do it s…
1.00E+18;c0;"RT @sarahllfit: I can’t thank everyone enough for all of the love &amp; attention i’ve gotten lately. I never thought my discovery would end up…"
1.00E+18;c0;RT @Magnusbaene_: quick correction: this is a Netflix fansite, not Netflix itself! still go vote! #PickUpShadowhunters #SaveShadowhunters @…
